Title,Actors,Director,Genre,Year,Runtime
Harry Potter and the Order of the Phoenix,Daniel Radcliffe; Rupert Grint; Emma Watson,David Yates,Adventure; Fantasy; Family; Mystery,2007,138
Cast Away,Tom Hanks; Helen Hunt; Chris Noth,Robert Zemeckis,Adventure; Drama,2000,143
Nightcrawler,Jake Gyllenhaal; Rene Russo; Riz Ahmed,Dan Gilroy,Crime; Drama; Thriller,2014,117
TRON: Legacy,Garrett Hedlund; Jeff Bridges; Olivia Wilde,Joseph Kosinski,Adventure; Action; Science Fiction,2010,125
Straight Outta Compton,O'Shea Jackson Jr.; Corey Hawkins; Jason Mitchell,F. Gary Gray,Drama; Music,2015,147
Mulan,Ming-Na Wen; Lea Salonga; Eddie Murphy,Tony Bancroft,Animation; Family; Adventure,1998,88
Pixels,Adam Sandler; Michelle Monaghan; Peter Dinklage,Chris Columbus,Action; Comedy; Science Fiction,2015,105
The Key,Stefania Sandrelli; Franco Branciaroli; Frank Finlay,Tinto Brass,Romance; Drama,1983,110
The Bourne Identity,Matt Damon; Franka Potente; Chris Cooper,Doug Liman,Action; Drama; Mystery; Thriller,2002,119
Hacksaw Ridge,Andrew Garfield; Sam Worthington; Vince Vaughn,Mel Gibson,Drama; History; War,2016,140
The Pursuit of Happyness,Will Smith; Jaden Smith; Thandie Newton,Gabriele Muccino,Drama,2006,117
Horrible Bosses 2,Jason Bateman; Jason Sudeikis; Charlie Day,Sean Anders,Comedy,2014,108
In a Heartbeat,,Beth David,Family; Animation; Romance; Comedy,2017,4
Terminator 3: Rise of the Machines,Arnold Schwarzenegger; Nick Stahl; Claire Danes,Jonathan Mostow,Action; Thriller; Science Fiction,2003,109
Braveheart,Mel Gibson; Catherine McCormack; Sophie Marceau,Mel Gibson,Action; Drama; History; War,1995,177
American Beauty,Kevin Spacey; Annette Bening; Thora Birch,Sam Mendes,Drama,1999,122
The Bar,Mario Casas; Blanca Suárez; Carmen Machi,Álex de la Iglesia,Horror; Thriller; Comedy,2017,0
Amityville: The Awakening,Bella Thorne; Cameron Monaghan; Jennifer Morrison,Franck Khalfoun,Thriller; Horror,2017,85
Scouts Guide to the Zombie Apocalypse,Tye Sheridan; Logan Miller; Joey Morgan,Christopher B. Landon,Comedy; Horror,2015,93
Minority Report,Tom Cruise; Colin Farrell; Samantha Morton,Steven Spielberg,Action; Thriller; Science Fiction; Mystery,2002,145
Star Trek Beyond,Chris Pine; Zachary Quinto; Karl Urban,Justin Lin,Action; Adventure; Science Fiction,2016,122
The Hobbit: The Desolation of Smaug,Martin Freeman; Ian McKellen; Richard Armitage,Peter Jackson,Adventure; Fantasy,2013,161
Underworld,Kate Beckinsale; Scott Speedman; Michael Sheen,Len Wiseman,Fantasy; Action; Thriller,2003,121
Sin City: A Dame to Kill For,Mickey Rourke; Jessica Alba; Josh Brolin,Robert Rodriguez,Crime; Thriller,2014,102
The Dark Knight Rises,Christian Bale; Michael Caine; Gary Oldman,Christopher Nolan,Action; Crime; Drama; Thriller,2012,165
San Andreas,Dwayne Johnson; Alexandra Daddario; Carla Gugino,Brad Peyton,Action; Drama; Thriller,2015,114
Ratatouille,Patton Oswalt; Ian Holm; Lou Romano,Jan Pinkava,Animation; Comedy; Family; Fantasy,2007,111
It Comes at Night,Joel Edgerton; Christopher Abbott; Carmen Ejogo,Trey Edward Shults,Horror; Mystery; Thriller,2017,91
Beautiful Creatures,Alden Ehrenreich; Alice Englert; Jeremy Irons,Richard LaGravenese,Fantasy; Drama; Romance,2013,124
Leon: The Professional,Jean Reno; Natalie Portman; Gary Oldman,Luc Besson,Thriller; Crime; Drama,1994,110
The Bourne Supremacy,Matt Damon; Franka Potente; Brian Cox,Paul Greengrass,Action; Drama; Thriller,2004,108
S.W.A.T.: Under Siege,Adrianne Palicki; Michael Jai White; Ty Olsson,Tony Giglio,Action; Crime; Thriller,2017,89
It Follows,Maika Monroe; Keir Gilchrist; Daniel Zovatto,David Robert Mitchell,Horror; Thriller,2015,100
Amazing Grace,Ioan Gruffudd; Romola Garai; Benedict Cumberbatch,Michael Apted,Drama,2006,117
The Hateful Eight,Samuel L. Jackson; Kurt Russell; Jennifer Jason Leigh,Quentin Tarantino,Crime; Drama; Mystery; Western,2015,167
Skyfall,Daniel Craig; Judi Dench; Javier Bardem,Sam Mendes,Action; Adventure; Thriller,2012,143
Passengers,Jennifer Lawrence; Chris Pratt; Michael Sheen,Morten Tyldum,Adventure; Drama; Romance; Science Fiction,2016,116
Top Gun,Tom Cruise; Kelly McGillis; Val Kilmer,Tony Scott,Action; Romance; War,1986,110
Kidnap,Halle Berry; Sage Correa; Chris McGinn,Luis Prieto,Drama; Thriller,2017,95
V for Vendetta,Natalie Portman; Hugo Weaving; Stephen Rea,James McTeigue,Action; Thriller; Fantasy,2006,132
Ice Age: Collision Course,Ray Romano; John Leguizamo; Denis Leary,Mike Thurmeier,Adventure; Animation; Family; Comedy,2016,100
Black Butterfly,Jonathan Rhys Meyers; Antonio Banderas; Piper Perabo,Brian Goodman,Thriller,2017,93
Sing,Matthew McConaughey; Reese Witherspoon; Seth MacFarlane,Garth Jennings,Animation; Comedy; Drama; Family; Music,2016,108
The Hunger Games,Jennifer Lawrence; Josh Hutcherson; Liam Hemsworth,Gary Ross,Science Fiction; Adventure; Fantasy,2012,142
Underworld: Blood Wars,Kate Beckinsale; Theo James; Lara Pulver,Anna Foerster,Action; Fantasy; Horror,2016,91
Derailed,Jean-Claude Van Damme; Tomas Arana; Laura Harring,Bob Misiorowski,Action; Thriller,2002,89
The Green Mile,Tom Hanks; Michael Clarke Duncan; David Morse,Frank Darabont,Fantasy; Drama; Crime,1999,189
American Pastoral,Ewan McGregor; Jennifer Connelly; Dakota Fanning,Ewan McGregor,Drama,2016,108
"Crouching Tiger, Hidden Dragon",Chow Yun-fat; Michelle Yeoh; Zhang Ziyi,Ang Lee,Adventure; Drama; Action; Romance,2000,120
Live by Night,Ben Affleck; Elle Fanning; Brendan Gleeson,Ben Affleck,Crime; Drama,2016,129
Dr. No,Sean Connery; Ursula Andress; Joseph Wiseman,Terence Young,Adventure; Action; Thriller,1962,110
War of the Worlds,Tom Cruise; Dakota Fanning; Miranda Otto,Steven Spielberg,Adventure; Thriller; Science Fiction,2005,116
Dead Poets Society,Robin Williams; Ethan Hawke; Robert Sean Leonard,Peter Weir,Drama,1989,129
Raiders of the Lost Ark,Harrison Ford; Karen Allen; Paul Freeman,Steven Spielberg,Adventure; Action,1981,115
The Woman in Red,Gene Wilder; Charles Grodin; Joseph Bologna,Gene Wilder,Comedy; Romance,1984,87
Catch Me If You Can,Leonardo DiCaprio; Tom Hanks; Christopher Walken,Steven Spielberg,Drama; Crime,2002,141
Child's Play,Catherine Hicks; Chris Sarandon; Alex Vincent,Tom Holland,Horror; Thriller,1988,87
Equals,Nicholas Hoult; Kristen Stewart; Guy Pearce,Drake Doremus,Drama; Romance; Science Fiction,2015,101
Cinderella,Lily James; Cate Blanchett; Richard Madden,Kenneth Branagh,Romance; Fantasy; Family; Drama,2015,105
Django Unchained,Jamie Foxx; Christoph Waltz; Leonardo DiCaprio,Quentin Tarantino,Drama; Western,2012,165
King Kong,Naomi Watts; Jack Black; Adrien Brody,Peter Jackson,Adventure; Drama; Action,2005,187
Jaws,Roy Scheider; Robert Shaw; Richard Dreyfuss,Steven Spielberg,Horror; Thriller; Adventure,1975,124
La La Land,Ryan Gosling; Emma Stone; John Legend,Damien Chazelle,Comedy; Drama; Music; Romance,2016,128
Factory Girl,Sienna Miller; Guy Pearce; Hayden Christensen,George Hickenlooper,Drama,2006,90
Non-Stop,Liam Neeson; Julianne Moore; Scoot McNairy,Jaume Collet-Serra,Action; Thriller; Mystery,2014,106
Ted,Mark Wahlberg; Mila Kunis; Seth MacFarlane,Seth MacFarlane,Comedy; Fantasy,2012,106
Beauty and the Beast,Vincent Cassel; Léa Seydoux; André Dussollier,Christophe Gans,Fantasy; Romance,2014,112
The Shining,Jack Nicholson; Shelley Duvall; Danny Lloyd,Stanley Kubrick,Horror; Thriller,1980,144
Hercules,Dwayne Johnson; Ian McShane; John Hurt,Brett Ratner,Action; Adventure,2014,99
The Last Samurai,Tom Cruise; Ken Watanabe; William Atherton,Edward Zwick,Drama; Action; War; History,2003,154
Iron Sky,Julia Dietze; Christopher Kirby; Götz Otto,Timo Vuorensola,Action; Comedy; Science Fiction,2012,93
Night at the Museum: Secret of the Tomb,Ben Stiller; Rami Malek; Rebel Wilson,Shawn Levy,Adventure; Comedy; Fantasy; Family,2014,97
Super 8,Joel Courtney; Elle Fanning; Riley Griffiths,J.J. Abrams,Thriller; Science Fiction; Mystery,2011,112
The Emerald Forest,Powers Boothe; Charley Boorman; Meg Foster,John Boorman,Action; Adventure; Drama,1985,114
Sicario,Emily Blunt; Benicio del Toro; Josh Brolin,Denis Villeneuve,Action; Crime; Drama; Mystery; Thriller,2015,121
The Empire Strikes Back,Mark Hamill; Harrison Ford; Carrie Fisher,Irvin Kershner,Adventure; Action; Science Fiction,1980,124
Maleficent,Angelina Jolie; Elle Fanning; Sharlto Copley,Robert Stromberg,Fantasy; Adventure; Action; Family; Romance,2014,97
No manches Frida,Omar Chaparro; Martha Higareda; Adal Ramones,Nacho G. Velilla,Comedy,2016,0
The Runaways,Dakota Fanning; Kristen Stewart; Michael Shannon,Floria Sigismondi,Drama; Music,2010,106
Fantastic Four,Ioan Gruffudd; Jessica Alba; Chris Evans,Tim Story,Action; Adventure; Fantasy; Science Fiction,2005,106
E.T. the Extra-Terrestrial,Henry Thomas; Drew Barrymore; Robert MacNaughton,Steven Spielberg,Science Fiction; Adventure; Family; Fantasy,1982,115
Trainspotting,Ewan McGregor; Ewen Bremner; Jonny Lee Miller,Danny Boyle,Drama; Crime,1996,93
Up,Ed Asner; Christopher Plummer; Jordan Nagai,Pete Docter,Animation; Comedy; Family; Adventure,2009,96
Captain America: The First Avenger,Chris Evans; Hugo Weaving; Tommy Lee Jones,Joe Johnston,Action; Adventure; Science Fiction,2011,124
Bandidas,Penélope Cruz; Salma Hayek; Dwight Yoakam,Joachim Rønning,Action; Comedy; Western; Crime,2006,93
The Terminator,Arnold Schwarzenegger; Michael Biehn; Linda Hamilton,James Cameron,Action; Thriller; Science Fiction,1984,108
Real Steel,Hugh Jackman; Dakota Goyo; Evangeline Lilly,Shawn Levy,Action; Science Fiction; Drama,2011,127
Mr. Holmes,Ian McKellen; Milo Parker; Laura Linney,Bill Condon,Drama; Mystery,2015,103
Dawn of the Dead,David Emge; Ken Foree; Scott H. Reiniger,George A. Romero,Horror,1978,127
Vice,Ambyr Childers; Thomas Jane; Bryan Greenberg,Brian A Miller,Thriller; Science Fiction; Action; Adventure,2015,96
American Sniper,Bradley Cooper; Sienna Miller; Kyle Gallner,Clint Eastwood,War; Action,2014,133
The Bye Bye Man,Douglas Smith; Lucien Laviscount; Cressida Bonas,Stacy Title,Horror; Thriller,2017,96
The Adventures of Tintin,Jamie Bell; Andy Serkis; Daniel Craig,Steven Spielberg,Adventure; Animation; Mystery,2011,107
Cars 3,Owen Wilson; Cristela Alonzo; Chris Cooper,Brian Fee,Family; Comedy; Animation; Adventure,2017,109
xXx: State of the Union,Ice Cube; Samuel L. Jackson; Willem Dafoe,Lee Tamahori,Action; Adventure; Crime; Drama; Mystery; Thriller,2005,101
Jason Bourne,Matt Damon; Alicia Vikander; Tommy Lee Jones,Paul Greengrass,Action; Thriller,2016,123
The Incredible Hulk,Edward Norton; Liv Tyler; Tim Roth,Louis Leterrier,Science Fiction; Action; Adventure,2008,114
Batman,Jack Nicholson; Michael Keaton; Kim Basinger,Tim Burton,Fantasy; Action,1989,126
Zodiac,Jake Gyllenhaal; Robert Downey Jr.; Mark Ruffalo,David Fincher,Crime; Drama; Mystery; Thriller,2007,157
Harry Potter and the Half-Blood Prince,Daniel Radcliffe; Rupert Grint; Emma Watson,David Yates,Adventure; Fantasy; Family,2009,153
Iron Man 2,Robert Downey Jr.; Gwyneth Paltrow; Don Cheadle,Jon Favreau,Adventure; Action; Science Fiction,2010,124
Mission: Impossible II,Tom Cruise; Dougray Scott; Thandie Newton,John Woo,Adventure; Action; Thriller,2000,123
The Hills Have Eyes,Aaron Stanford; Kathleen Quinlan; Vinessa Shaw,Alexandre Aja,Horror; Thriller,2006,107
Undisputed II: Last Man Standing,Michael Jai White; Scott Adkins; Ben Cross,Isaac Florentine,Action; Crime; Thriller,2006,93
High-Rise,Tom Hiddleston; Sienna Miller; Jeremy Irons,Ben Wheatley,Drama,2015,119
National Treasure,Nicolas Cage; Diane Kruger; Justin Bartha,Jon Turteltaub,Adventure; Action; Thriller; Mystery,2004,131
The Perfect Storm,George Clooney; Mark Wahlberg; Diane Lane,Wolfgang Petersen,Drama,2000,130
Nocturnal Animals,Amy Adams; Jake Gyllenhaal; Michael Shannon,Tom Ford,Drama; Thriller,2016,116
Cars,Owen Wilson; Paul Newman; Bonnie Hunt,John Lasseter,Animation; Adventure; Comedy; Family,2006,117
Blade: Trinity,Wesley Snipes; Kris Kristofferson; Dominic Purcell,David S. Goyer,Science Fiction; Action; Horror; Thriller; Adventure; Fantasy,2004,123
9 Songs,Kieran O'Brien; Margo Stilley; Courtney Taylor-Taylor,Michael Winterbottom,Drama; Music; Romance,2004,66
Sister Act,Whoopi Goldberg; Maggie Smith; Kathy Najimy,Emile Ardolino,Music; Comedy,1992,100
Die Hard 2,Bruce Willis; Bonnie Bedelia; William Atherton,Renny Harlin,Action; Thriller,1990,124
The BFG,Ruby Barnhill; Mark Rylance; Rebecca Hall,Steven Spielberg,Adventure; Family; Fantasy,2016,120
Apollo 13,Tom Hanks; Bill Paxton; Kevin Bacon,Ron Howard,Drama,1995,140
Snow White and the Huntsman,Kristen Stewart; Charlize Theron; Chris Hemsworth,Rupert Sanders,Adventure; Fantasy; Drama,2012,127
Captain America: The Winter Soldier,Chris Evans; Samuel L. Jackson; Scarlett Johansson,Anthony Russo,Action; Adventure; Science Fiction,2014,136
Once Upon a Time in Venice,Bruce Willis; Jason Momoa; John Goodman,Mark Cullen,Action; Comedy; Thriller,2017,94
Sherlock Holmes: A Game of Shadows,Robert Downey Jr.; Jude Law; Jared Harris,Guy Ritchie,Adventure; Action; Crime; Mystery,2011,129
The Scorpion King: Rise of a Warrior,Michael Copon; Randy Couture; Karen David,Russell Mulcahy,Fantasy; Action; Adventure,2008,109
Chicken Little,Zach Braff; Joan Cusack; Dan Molina,Mark Dindal,Animation; Family; Comedy,2005,81
"I, Daniel Blake",Dave Johns; Hayley Squires; Dylan McKiernan,Ken Loach,Drama,2016,100
The Da Vinci Code,Tom Hanks; Audrey Tautou; Ian McKellen,Ron Howard,Thriller; Mystery,2006,149
The Pink Panther 2,Steve Martin; Jean Reno; Emily Mortimer,Harald Zwart,Comedy; Mystery,2009,92
French Connection II,Gene Hackman; Fernando Rey; Bernard Fresson,John Frankenheimer,Action; Crime; Drama; Thriller,1975,119
Man of Steel,Henry Cavill; Amy Adams; Michael Shannon,Zack Snyder,Action; Adventure; Fantasy; Science Fiction,2013,143
The Departed,Leonardo DiCaprio; Matt Damon; Jack Nicholson,Martin Scorsese,Drama; Thriller; Crime,2006,151
9,Christopher Plummer; Martin Landau; John C. Reilly,Shane Acker,Action; Adventure; Animation; Science Fiction; Thriller,2009,79
Gravity,Sandra Bullock; George Clooney; Ed Harris,Alfonso Cuarón,Science Fiction; Thriller; Drama,2013,91
Predator,Arnold Schwarzenegger; Carl Weathers; Elpidia Carrillo,John McTiernan,Science Fiction; Action; Adventure; Thriller,1987,107
Transformers: Age of Extinction,Mark Wahlberg; Stanley Tucci; Kelsey Grammer,Michael Bay,Science Fiction; Action; Adventure,2014,165
We're the Millers,Jason Sudeikis; Jennifer Aniston; Will Poulter,Rawson Marshall Thurber,Comedy; Crime,2013,110
Brimstone,Guy Pearce; Dakota Fanning; Carice van Houten,Martin Koolhoven,Mystery; Thriller; Western,2017,148
Lilo & Stitch,Chris Sanders; Daveigh Chase; Tia Carrere,Dean DeBlois,Animation; Family,2002,85
Prince of Persia: The Sands of Time,Jake Gyllenhaal; Gemma Arterton; Ben Kingsley,Mike Newell,Adventure; Fantasy; Action; Romance,2010,116
Se7en,Brad Pitt; Morgan Freeman; Gwyneth Paltrow,David Fincher,Crime; Mystery; Thriller,1995,127
Passenger 57,Wesley Snipes; Bruce Payne; Tom Sizemore,Kevin Hooks,Action; Adventure; Thriller,1992,84
The Sixth Sense,Bruce Willis; Toni Collette; Olivia Williams,M. Night Shyamalan,Mystery; Thriller; Drama,1999,107
Carrie,Chloë Grace Moretz; Julianne Moore; Judy Greer,Kimberly Peirce,Drama; Horror,2013,100
Allegiant,Shailene Woodley; Theo James; Zoë Kravitz,Robert Schwentke,Adventure; Science Fiction,2016,121
American Pie,Jason Biggs; Chris Klein; Thomas Ian Nicholas,Chris Weitz,Comedy; Romance,1999,95
Six Days Seven Nights,Harrison Ford; Anne Heche; David Schwimmer,Ivan Reitman,Action; Adventure; Comedy; Romance,1998,98
Inferno,Tom Hanks; Felicity Jones; Omar Sy,Ron Howard,Thriller,2016,121
Donnie Darko,Jake Gyllenhaal; Jena Malone; Patrick Swayze,Richard Kelly,Fantasy; Drama; Mystery,2001,113
Sully,Tom Hanks; Aaron Eckhart; Laura Linney,Clint Eastwood,Drama; History,2016,96
Need for Speed,Aaron Paul; Dominic Cooper; Imogen Poots,Scott Waugh,Action; Crime; Drama; Thriller,2014,130
The Punisher,Thomas Jane; John Travolta; Will Patton,Jonathan Hensleigh,Action; Crime; Drama,2004,124
On the Waterfront,Marlon Brando; Karl Malden; Lee J. Cobb,Elia Kazan,Crime; Drama,1954,108
Vertigo,James Stewart; Kim Novak; Barbara Bel Geddes,Alfred Hitchcock,Mystery; Romance; Thriller,1958,128
Platoon,Tom Berenger; Charlie Sheen; Willem Dafoe,Oliver Stone,Drama; War; Action,1986,120
Birdman,Michael Keaton; Emma Stone; Zach Galifianakis,Alejandro González Iñárritu,Drama; Comedy,2014,119
Spy Game,Robert Redford; Brad Pitt; Catherine McCormack,Tony Scott,Action; Crime; Thriller,2001,126
Mulholland Drive,Naomi Watts; Laura Harring; Ann Miller,David Lynch,Thriller; Drama; Mystery,2001,147
The Bourne Ultimatum,Matt Damon; Julia Stiles; David Strathairn,Paul Greengrass,Action; Drama; Mystery; Thriller,2007,115
American History X,Edward Norton; Edward Furlong; Beverly D'Angelo,Tony Kaye,Drama,1998,119
Flying Swords of Dragon Gate,Jet Li; Zhou Xun; Chen Kun,Tsui Hark,Adventure; Action,2011,125
Annie Hall,Woody Allen; Diane Keaton; Tony Roberts,Woody Allen,Comedy; Drama; Romance,1977,93
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",William Moseley; Anna Popplewell; Skandar Keynes,Andrew Adamson,Adventure; Family; Fantasy,2005,143
300,Gerard Butler; Lena Headey; Dominic West,Zack Snyder,Action; Adventure; War,2006,117
Taken 3,Liam Neeson; Forest Whitaker; Maggie Grace,Olivier Megaton,Thriller; Action,2014,109
3:10 to Yuma,Russell Crowe; Christian Bale; Logan Lerman,James Mangold,Western,2007,122
13 Hours: The Secret Soldiers of Benghazi,James Badge Dale; John Krasinski; Max Martini,Michael Bay,Action; Drama; History; Thriller; War,2016,144
Disturbia,Shia LaBeouf; Sarah Roemer; Carrie-Anne Moss,D.J. Caruso,Thriller; Drama; Mystery,2007,105
Shark Tale,Will Smith; Robert De Niro; Renée Zellweger,Vicky Jenson,Animation; Action; Comedy; Family,2004,90
Shrek,Mike Myers; Eddie Murphy; Cameron Diaz,Andrew Adamson,Adventure; Animation; Comedy; Family; Fantasy,2001,90
Their Finest,Gemma Arterton; Sam Claflin; Bill Nighy,Lone Scherfig,Romance; War; Comedy; Drama,2017,117
Identity,John Cusack; Ray Liotta; Amanda Peet,James Mangold,Mystery; Thriller,2003,90
School of Rock,Jack Black; Joan Cusack; Mike White,Richard Linklater,Comedy; Music,2003,108
The Curious Case of Benjamin Button,Cate Blanchett; Brad Pitt; Tilda Swinton,David Fincher,Fantasy; Drama; Thriller; Mystery; Romance,2008,166
Heat,Al Pacino; Robert De Niro; Val Kilmer,Michael Mann,Action; Crime; Drama; Thriller,1995,170
xXx: Return of Xander Cage,Vin Diesel; Ice Cube; Samuel L. Jackson,D.J. Caruso,Action; Adventure; Crime,2017,107
Rear Window,James Stewart; Grace Kelly; Wendell Corey,Alfred Hitchcock,Drama; Mystery; Thriller,1954,112
The Judge,Robert Duvall; Robert Downey Jr.; Vera Farmiga,David Dobkin,Drama,2014,141
3 Days to Kill,Kevin Costner; Amber Heard; Hailee Steinfeld,McG,Action; Drama; Thriller; Crime,2014,113
Michael Jackson's Thriller,Michael Jackson; Ola Ray; Vincent Price,John Landis,Horror; Music,1983,13
Now You See Me,Jesse Eisenberg; Mark Ruffalo; Woody Harrelson,Louis Leterrier,Thriller; Crime,2013,115
Mission: Impossible - Rogue Nation,Tom Cruise; Rebecca Ferguson; Simon Pegg,Christopher McQuarrie,Action; Adventure; Thriller,2015,131
Life of Crime,John Hawkes; Yasiin Bey; Jennifer Aniston,Daniel Schechter,Comedy; Crime,2013,94
Planet of the Apes,Charlton Heston; Roddy McDowall; Kim Hunter,Franklin J. Schaffner,Science Fiction; Adventure; Drama; Action,1968,112
Operation Chromite,Lee Jung-jae; Liam Neeson; Lee Beom-soo,John H. Lee,History; Drama; War; Action,2016,110
The Nightmare Before Christmas,Danny Elfman; Chris Sarandon; Catherine O'Hara,Henry Selick,Fantasy; Animation; Family,1993,76
A Man Apart,Vin Diesel; Larenz Tate; Timothy Olyphant,F. Gary Gray,Action; Drama,2003,109
Dogtooth,Hristos Passalis; Angeliki Papoulia; Mary Tsoni,Yorgos Lanthimos,Drama,2009,94
Legend of the Guardians: The Owls of Ga'Hoole,Emily Barclay; Abbie Cornish; Essie Davis,Zack Snyder,Animation; Adventure; Family; Fantasy,2010,97
28 Days Later,Cillian Murphy; Naomie Harris; Noah Huntley,Danny Boyle,Horror; Thriller; Science Fiction,2002,113
Anna and the King,Jodie Foster; Chow Yun-fat; Bai Ling,Andy Tennant,Drama; History; Romance,1999,148
T2 Trainspotting,Ewan McGregor; Jonny Lee Miller; Ewen Bremner,Danny Boyle,Crime; Drama,2017,117
Independence Day,Will Smith; Bill Pullman; Jeff Goldblum,Roland Emmerich,Action; Adventure; Science Fiction,1996,145
Kung Fu Yoga,Jackie Chan; Disha Patani; Sonu Sood,Stanley Tong,Mystery; Action; Adventure; Comedy,2017,130
The Equalizer,Denzel Washington; Marton Csokas; Chloë Grace Moretz,Antoine Fuqua,Thriller; Action; Crime,2014,132
Edward Scissorhands,Johnny Depp; Winona Ryder; Dianne Wiest,Tim Burton,Fantasy; Drama; Romance,1990,105
Child 44,Tom Hardy; Gary Oldman; Noomi Rapace,Daniel Espinosa,Crime; Thriller,2015,137
Sinister 2,Shannyn Sossamon; James Ransone; Robert Daniel Sloan,Ciaran Foy,Horror,2015,97
The Great Gatsby,Leonardo DiCaprio; Tobey Maguire; Carey Mulligan,Baz Luhrmann,Drama; Romance,2013,143
Sausage Party,Seth Rogen; Kristen Wiig; Jonah Hill,Conrad Vernon,Adventure; Animation; Comedy; Fantasy,2016,83
Addams Family Values,Raúl Juliá; Anjelica Huston; Christopher Lloyd,Barry Sonnenfeld,Comedy; Family; Fantasy,1993,94
Toy Story 2,Tom Hanks; Tim Allen; Joan Cusack,John Lasseter,Animation; Comedy; Family,1999,92
The Founder,Michael Keaton; Nick Offerman; John Carroll Lynch,John Lee Hancock,Drama; History,2016,115
Showgirls,Elizabeth Berkley; Kyle MacLachlan; Gina Gershon,Paul Verhoeven,Drama,1995,128
The Little Mermaid,Jodi Benson; Christopher Daniel Barnes; Jason Marin,Ron Clements,Animation; Family,1989,83
The Jungle Book,Neel Sethi; Bill Murray; Ben Kingsley,Jon Favreau,Family; Adventure; Drama; Fantasy,2016,106
Wild Orchid,Jacqueline Bisset; Carré Otis; Mickey Rourke,Zalman King,Drama; Romance,1989,105
"See No Evil, Hear No Evil",Richard Pryor; Gene Wilder; Joan Severance,Arthur Hiller,Crime; Comedy,1989,103
Saw VI,Tobin Bell; Costas Mandylor; Betsy Russell,Kevin Greutert,Horror; Mystery,2009,90
Ice Age,Ray Romano; John Leguizamo; Denis Leary,Chris Wedge,Animation; Comedy; Family; Adventure,2002,81
Planet of the Apes,Mark Wahlberg; Tim Roth; Helena Bonham Carter,Tim Burton,Thriller; Science Fiction; Action; Adventure,2001,119
Trainwreck,Amy Schumer; Bill Hader; Brie Larson,Judd Apatow,Comedy,2015,125
Alice in Wonderland,Mia Wasikowska; Johnny Depp; Anne Hathaway,Tim Burton,Family; Fantasy; Adventure,2010,108
Kick-Ass,Aaron Taylor-Johnson; Chloë Grace Moretz; Christopher Mintz-Plasse,Matthew Vaughn,Action; Crime,2010,117
The Huntsman: Winter's War,Chris Hemsworth; Charlize Theron; Emily Blunt,Cedric Nicolas-Troyan,Action; Adventure; Drama,2016,114
Insidious,Patrick Wilson; Rose Byrne; Ty Simpkins,James Wan,Horror; Thriller,2010,103
Fantastic Four,Miles Teller; Kate Mara; Michael B. Jordan,Josh Trank,Action; Adventure; Science Fiction,2015,100
Amateur Night,Jason Biggs; Janet Montgomery; Jenny Mollen,Lisa Addario,Comedy,2016,89
Holes,Sigourney Weaver; Jon Voight; Tim Blake Nelson,Andrew Davis,Adventure; Family; Drama; Comedy,2003,117
True Romance,Christian Slater; Patricia Arquette; Michael Rapaport,Tony Scott,Action; Thriller; Crime; Romance,1993,120
A Most Violent Year,Oscar Isaac; Jessica Chastain; Albert Brooks,J.C. Chandor,Crime; Drama; Thriller,2014,125
The Godfather: Part III,Al Pacino; Diane Keaton; Andy García,Francis Ford Coppola,Crime; Drama; Thriller,1990,162
Two Is a Family,Omar Sy; Clémence Poésy; Antoine Bertrand,Hugo Gélin,Drama; Comedy,2016,118
Princess Mononoke,Yōji Matsuda; Yuriko Ishida; Yūko Tanaka,Hayao Miyazaki,Adventure; Fantasy; Animation,1997,134
Ghostbusters,Melissa McCarthy; Kristen Wiig; Kate McKinnon,Paul Feig,Action; Fantasy; Comedy,2016,116
Tomorrow Never Dies,Pierce Brosnan; Jonathan Pryce; Michelle Yeoh,Roger Spottiswoode,Adventure; Action; Thriller,1997,119
Robin Hood: Men in Tights,Cary Elwes; Dom DeLuise; Roger Rees,Mel Brooks,Comedy,1993,104
Alien³,Sigourney Weaver; Charles S. Dutton; Charles Dance,David Fincher,Science Fiction; Action; Horror,1992,114
A Clockwork Orange,Malcolm McDowell; Patrick Magee; Adrienne Corri,Stanley Kubrick,Science Fiction; Drama,1971,136
Teen Titans: The Judas Contract,Stuart Allan; Jake T. Austin; Taissa Farmiga,Sam Liu,Science Fiction; Animation; Action,2017,84
Lion,Sunny Pawar; Dev Patel; Rooney Mara,Garth Davis,Drama,2016,118
The Lego Batman Movie,Will Arnett; Zach Galifianakis; Michael Cera,Chris McKay,Action; Animation; Comedy; Family; Fantasy,2017,104
Blade II,Wesley Snipes; Kris Kristofferson; Ron Perlman,Guillermo del Toro,Fantasy; Horror; Action; Thriller,2002,117
When the Bough Breaks,Morris Chestnut; Regina Hall; Romany Malco,Jon Cassar,Mystery; Drama; Horror,2016,97
Batman & Robin,George Clooney; Chris O'Donnell; Arnold Schwarzenegger,Joel Schumacher,Action; Crime; Fantasy,1997,125
Mine,Armie Hammer; Annabelle Wallis; Tom Cullen,Fabio Guaglione,Thriller; War,2016,106
The Boy,Lauren Cohan; Rupert Evans; James Russell,William Brent Bell,Horror; Mystery; Thriller,2016,97
Paul Blart: Mall Cop 2,Kevin James; Raini Rodriguez; Eduardo Verástegui,Andy Fickman,Action; Comedy; Family,2015,94
